"STOCKNO","DESCRIP","COST","UNIT","GROUP","CATEGORY","TAXCODE","PSTRUC","SERIALNO","SALACC","CSTACC","WARANT","ITEMTYPE","SUPSTOCKNO","STOCKBAR","NEGATIVE","BINLOC","SUBTYPE","DISC","LINECOMMS","NOTES","INTREF","PRICELIST","SECLEVEL","MINMARGIN","SUPPCODE","URL","WEIGHT","BOXWIDTH","BOXLENGTH","BOXHEIGHT","BOXQTY","COMMENT","SIZEFAC","BRAND","PARENT","WEBLIST","CLASS","SORDERQTY","MULTIPLES","RETAILA","RETAILB","RETAILC","RETAILD","RETAILE","RETAILF","COMMS","COMMSTYPE","LPCOST","SUBSERIAL","BATCHNO","DELTIME","WHOLENUM","LEVY","LEVYTYPE","MINMAX","MIN 0","MIN 1","MIN 2","MIN 3","MIN 4","MIN 5","MIN 6","MIN 7","MIN 8","MIN 9","MIN 10","MIN 11","MIN 12","MIN 13","MIN 14","MIN 15","MIN 16","MIN 17","MIN 18","MIN 19","MIN 20","MIN 21","MIN 22","MIN 23","MIN 24","MIN 25","MIN 26","MIN 27","MIN 28","MIN 29","MIN 30","MIN 31","MIN 32","MIN 33","MIN 34","MIN 35","MIN 36","MIN 37","MIN 38","MIN 39","MIN 40","MAX 0","MAX 1","MAX 2","MAX 3","MAX 4","MAX 5","MAX 6","MAX 7","MAX 8","MAX 9","MAX 10","MAX 11","MAX 12","MAX 13","MAX 14","MAX 15","MAX 16","MAX 17","MAX 18","MAX 19","MAX 20","MAX 21","MAX 22","MAX 23","MAX 24","MAX 25","MAX 26","MAX 27","MAX 28","MAX 29","MAX 30","MAX 31","MAX 32","MAX 33","MAX 34","MAX 35","MAX 36","MAX 37","MAX 38","MAX 39","MAX 40","INSTOCK 0","INSTOCK 1","INSTOCK 2","INSTOCK 3","INSTOCK 4","INSTOCK 5","INSTOCK 6","INSTOCK 7","INSTOCK 8","INSTOCK 9","INSTOCK 10","INSTOCK 11","INSTOCK 12","INSTOCK 13","INSTOCK 14","INSTOCK 15","INSTOCK 16","INSTOCK 17","INSTOCK 18","INSTOCK 19","INSTOCK 20","INSTOCK 21","INSTOCK 22","INSTOCK 23","INSTOCK 24","INSTOCK 25","INSTOCK 26","INSTOCK 27","INSTOCK 28","INSTOCK 29","INSTOCK 30","INSTOCK 31","INSTOCK 32","INSTOCK 33","INSTOCK 34","INSTOCK 35","INSTOCK 36","INSTOCK 37","INSTOCK 38","INSTOCK 39","INSTOCK 40","PORDER 0","PORDER 1","PORDER 2","PORDER 3","PORDER 4","PORDER 5","PORDER 6","PORDER 7","PORDER 8","PORDER 9","PORDER 10","PORDER 11","PORDER 12","PORDER 13","PORDER 14","PORDER 15","PORDER 16","PORDER 17","PORDER 18","PORDER 19","PORDER 20","PORDER 21","PORDER 22","PORDER 23","PORDER 24","PORDER 25","PORDER 26","PORDER 27","PORDER 28","PORDER 29","PORDER 30","PORDER 31","PORDER 32","PORDER 33","PORDER 34","PORDER 35","PORDER 36","PORDER 37","PORDER 38","PORDER 39","PORDER 40","BILLNO","PRODBOM 1","PRODBOM 2","PRODBOM 3","PRODBOM 4","PRODBOM 5","PRODBOM 6","PRODBOM 7","PRODBOM 8","PRODBOM 9","PRODBOM 10","PRODBOM 11","PRODBOM 12","PRODBOM 13","PRODBOM 14","PRODBOM 15","PRODBOM 16","PRODBOM 17","PRODBOM 18","PRODBOM 19","PRODBOM 20","LOADFAC 1","LOADFAC 2","LOADFAC 3","LOADFAC 4","LOADFAC 5","LOADFAC 6","LOADFAC 7","LOADFAC 8","LOADFAC 9","LOADFAC 10","LOADFAC 11","LOADFAC 12","LOADFAC 13","LOADFAC 14","LOADFAC 15","LOADFAC 16","LOADFAC 17","LOADFAC 18","LOADFAC 19","LOADFAC 20","ACTIVE","LICOST","ISUPPCODE"
"4011","BIG SKY FINISHER PELLETS 2KG",24.3500,"EA","FEED","AGR",1,0,"N","110000","150000",0,"0","","","N","","",0.00,0.00,"","","Y","0",0.00,"001JAA","",0.0000,0.0000,0.0000,0.0000,0.0000,"",0.0000,"","","Y","",0,"N",21.1739,21.1739,21.1739,21.1739,21.1739,21.1739,0.00,"1",24.35,"N","N",0,"N",0.0000,"A","N",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"N",0.00,""
"4012","BIG SKY LAYER PELLETS 2KG",21.7400,"EA","FEED","AGR",1,0,"N","110000","150000",0,"0","","","N","","",0.00,0.00,"","","Y","0",0.00,"001JAA","",0.0000,0.0000,0.0000,0.0000,0.0000,"",0.0000,"","","Y","",0,"N",18.9043,18.9043,18.9043,18.9043,18.9043,18.9043,0.00,"1",21.74,"N","N",0,"N",0.0000,"A","N",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"N",0.00,""
"4013","BIG SKY GROWER PELLETS 2KG",25.2150,"EA","FEED","AGR",1,0,"N","110000","150000",0,"0","","","N","","",0.00,0.00,"","","Y","0",0.00,"001JAA","",0.0000,0.0000,0.0000,0.0000,0.0000,"",0.0000,"","","Y","",0,"N",21.9304,21.9304,21.9304,21.9304,21.9304,21.9304,0.00,"1",25.22,"N","N",0,"N",0.0000,"A","N",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"N",0.00,""
"4014","BIG SKY SUNFLOWER SEED 1KG",26.0850,"EA","FEED","AGR",1,0,"N","110000","150000",0,"0","","","N","","",0.00,0.00,"","","Y","0",0.00,"001JAA","",0.0000,0.0000,0.0000,0.0000,0.0000,"",0.0000,"","","Y","",0,"N",22.6870,22.6870,22.6870,22.6870,22.6870,22.6870,0.00,"1",26.09,"N","N",0,"N",0.0000,"A","N",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"N",0.00,""
"4015","BIG SKY PARROT MIX 1KG",47.4800,"EA","FEED","AGR",1,0,"N","110000","150000",0,"0","","","N","","",0.00,0.00,"","","Y","0",0.00,"001JAA","",0.0000,0.0000,0.0000,0.0000,0.0000,"",0.0000,"","","Y","",0,"N",41.2870,41.2870,41.2870,41.2870,41.2870,41.2870,0.00,"1",47.48,"N","N",0,"N",0.0000,"A","N",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"N",0.00,""
"4016","WILD BIRD SEED 10KG",165.2200,"EA","FEED","AGR",1,0,"N","110000","150000",0,"0","","","N","","",0.00,0.00,"","","Y","0",0.00,"001JAA","",0.0000,0.0000,0.0000,0.0000,0.0000,"",0.0000,"","","Y","",0,"N",143.6696,143.6696,143.6696,143.6696,143.6696,143.6696,0.00,"1",165.22,"N","N",0,"N",0.0000,"A","N",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"N",0.00,""
"4017","BUDGIE SEEDS 5KG",86.9600,"EA","FEED","AGR",1,0,"N","110000","150000",0,"0","","","N","","",0.00,0.00,"","","Y","0",0.00,"001JAA","",0.0000,0.0000,0.0000,0.0000,0.0000,"",0.0000,"","","Y","",0,"N",75.6174,75.6174,75.6174,75.6174,75.6174,75.6174,0.00,"1",86.96,"N","N",0,"N",0.0000,"A","N",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"N",0.00,""
"4018","GARDEN MIX BIG 5KG",56.5200,"EA","FEED","AGR",1,0,"N","110000","150000",0,"0","","","N","","",0.00,0.00,"","","Y","0",0.00,"001JAA","",0.0000,0.0000,0.0000,0.0000,0.0000,"",0.0000,"","","Y","",0,"N",49.1478,49.1478,49.1478,49.1478,49.1478,49.1478,0.00,"1",56.52,"N","N",0,"N",0.0000,"A","N",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"N",0.00,""
"4019","MIX FOWL FEED 10KG",86.9600,"EA","FEED","AGR",1,0,"N","110000","150000",0,"0","","","N","","",0.00,0.00,"","","Y","0",0.00,"001JAA","",0.0000,0.0000,0.0000,0.0000,0.0000,"",0.0000,"","","Y","",0,"N",75.6174,75.6174,75.6174,75.6174,75.6174,75.6174,0.00,"1",86.96,"N","N",0,"N",0.0000,"A","N",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"N",0.00,""
"4020","RABBIT PELLETS 10KG",100.0000,"EA","FEED","AGR",1,0,"N","110000","150000",0,"0","","","N","","",0.00,0.00,"","","Y","0",0.00,"001JAA","",0.0000,0.0000,0.0000,0.0000,0.0000,"",0.0000,"","","Y","",0,"N",86.9565,86.9565,86.9565,86.9565,86.9565,86.9565,0.00,"1",100.00,"N","N",0,"N",0.0000,"A","N",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"N",0.00,""
"4021","BIG SKY STARTER CRUMBLE 10KG",113.0400,"EA","FEED","AGR",1,0,"N","110000","150000",0,"0","","","N","","",0.00,0.00,"","","Y","0",0.00,"001JAA","",0.0000,0.0000,0.0000,0.0000,0.0000,"",0.0000,"","","Y","",0,"N",98.2957,98.2957,98.2957,98.2957,98.2957,98.2957,0.00,"1",113.04,"N","N",0,"N",0.0000,"A","N",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"N",0.00,""
"4022","BIG SKY FINISHER PELLET 0KG",108.7000,"EA","FEED","AGR",1,0,"N","110000","150000",0,"0","","","N","","",0.00,0.00,"","","Y","0",0.00,"001JAA","",0.0000,0.0000,0.0000,0.0000,0.0000,"",0.0000,"","","Y","",0,"N",94.5217,94.5217,94.5217,94.5217,94.5217,94.5217,0.00,"1",108.70,"N","N",0,"N",0.0000,"A","N",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"N",0.00,""
